site_id,survey_date,pit_tag_id,capture_life_stage,capture_animal_state
72808,2016-07-08,900067000114384,adult,healthy
72808,2016-07-08,900067000114424,adult,healthy
72808,2016-07-08,900067000114434,adult,healthy
72808,2016-07-08,900067000114453,adult,healthy
72808,2016-07-08,900067000114468,adult,healthy
72808,2016-07-08,900067000114475,adult,healthy
72808,2016-07-08,900067000114478,adult,healthy
72808,2016-07-08,900067000114480,adult,healthy
72808,2016-07-08,900067000114491,adult,healthy
72808,2016-07-08,900067000114494,adult,healthy
72808,2016-07-08,900067000114496,adult,healthy
72808,2016-07-08,900067000114529,adult,healthy
72808,2016-07-08,900067000114530,adult,healthy
72808,2016-07-08,900067000114531,adult,healthy
72808,2016-07-08,900067000114537,adult,healthy
72808,2016-07-08,900067000114538,adult,healthy
72808,2016-07-08,900067000114539,adult,healthy
72808,2016-07-08,900067000114541,adult,healthy
72808,2016-07-08,900067000114544,adult,healthy
72808,2016-07-08,900067000114546,adult,healthy
72808,2016-07-08,900067000114553,adult,healthy
72808,2016-07-08,900067000114560,adult,healthy
72808,2016-07-08,900067000114563,adult,healthy
72808,2016-07-08,900067000114570,adult,healthy
72808,2016-07-08,900067000114572,adult,healthy
72808,2016-07-08,900067000114574,adult,healthy
72336,2016-07-08,900067000114575,adult,healthy
72808,2016-07-08,900067000114601,adult,healthy
72808,2016-07-08,900067000114610,adult,healthy
72808,2016-07-08,900067000114612,adult,healthy
72808,2016-07-08,900067000114615,adult,healthy
72808,2016-07-08,900067000114617,adult,healthy
72808,2016-07-08,900067000114625,adult,healthy
72808,2016-07-08,900067000114630,adult,healthy
72808,2016-07-08,900067000114635,adult,healthy
72808,2016-07-08,900067000114642,adult,healthy
72336,2016-07-08,900067000114643,adult,healthy
72808,2016-07-08,900067000114644,adult,healthy
72336,2016-07-08,900067000114646,adult,healthy
72808,2016-07-08,900067000114648,adult,healthy
72336,2016-07-08,900067000114651,adult,healthy
72808,2016-07-08,900067000114658,adult,healthy
72336,2016-07-08,900067000114659,adult,healthy
72808,2016-07-08,900067000114663,adult,healthy
72808,2016-07-08,900067000114667,adult,healthy
72808,2016-07-08,900067000114673,adult,healthy
72336,2016-07-08,900067000114674,adult,healthy
72336,2016-07-08,900067000114678,adult,healthy
72336,2016-07-08,900067000114682,adult,healthy
72808,2016-07-08,900067000114684,adult,healthy
72336,2016-07-08,900067000114694,adult,healthy
72336,2016-07-08,900067000114702,adult,healthy
72808,2016-07-08,900067000114704,adult,healthy
72336,2016-07-08,900067000114708,adult,healthy
72808,2016-07-08,900067000114715,adult,healthy
72336,2016-07-08,900067000114716,adult,healthy
72336,2016-07-08,900067000114733,adult,healthy
72808,2016-07-08,900067000114739,adult,healthy
72336,2016-07-08,900067000114744,adult,healthy
72336,2016-07-08,900067000114797,adult,healthy
72336,2016-07-08,900067000114800,adult,healthy
72808,2016-07-08,900067000114802,adult,healthy
72808,2016-07-08,900067000114808,adult,healthy
72808,2016-07-08,900067000114809,adult,healthy
72808,2016-07-08,900067000114818,adult,healthy
72808,2016-07-08,900067000114821,adult,healthy
72808,2016-07-08,900067000114836,adult,healthy
72808,2016-07-08,900067000114839,adult,healthy
72808,2016-07-08,900067000114847,adult,healthy
72808,2016-07-08,900067000114849,adult,healthy
72808,2016-07-08,900067000114851,adult,healthy
72808,2016-07-08,900067000114854,adult,healthy
72808,2016-07-08,900067000114858,adult,healthy
72808,2016-07-08,900067000114865,adult,healthy
72808,2016-07-08,900067000114871,adult,healthy
72808,2016-07-08,900067000114880,adult,healthy
72808,2016-07-08,92035340,adult,healthy
72808,2016-07-08,92074563,adult,healthy
72808,2016-07-08,92787824,adult,healthy
72808,2016-07-08,98006781,adult,healthy
72808,2016-07-08,982000365440176,adult,healthy
72808,2016-07-08,982000365440184,adult,healthy
72808,2016-07-08,982000365440188,adult,healthy
72808,2016-07-08,982000365440194,adult,healthy
72808,2016-07-08,982000365440200,adult,healthy
72808,2016-07-08,982000365440204,adult,healthy
72336,2016-07-08,982000365440209,adult,healthy
72808,2016-07-08,982000365440219,adult,healthy
72808,2016-07-08,982000365440237,adult,healthy
72808,2016-07-08,982000365440250,adult,healthy
72808,2016-07-08,982000365440267,adult,healthy
72336,2016-07-08,982000365440279,adult,healthy
72336,2016-07-08,982000365440286,adult,healthy
72336,2016-07-08,982000365440297,adult,healthy
72808,2016-07-08,982000365440306,adult,healthy
72808,2016-07-08,982000365440307,adult,healthy
72808,2016-07-08,982000365440311,adult,healthy
72808,2016-07-08,982000365440317,adult,healthy
72808,2016-07-08,982000365440324,adult,healthy
72808,2016-07-08,982000365440326,adult,healthy
72808,2016-07-08,982000365440328,adult,healthy
72808,2016-07-08,982000365440329,adult,healthy
72808,2016-07-08,982000365440335,adult,healthy
72808,2016-07-08,982000365440344,adult,healthy
72808,2016-07-08,982000365440351,adult,healthy
